# .test .cputime .temperature .time_mat1 .time_mat2
287 0.299307  6.331 0.002668 0.003847
288 0.298940  5.357 0.002743 0.003920
289 0.301082  7.305 0.002713 0.003927
290 0.302282  6.331 0.002753 0.003917
291 0.302451  5.357 0.002759 0.003999
292 0.303244  6.331 0.002785 0.003987
293 0.304423  6.331 0.002803 0.004030
294 0.305529  5.844 0.002796 0.004108
295 0.306357  5.844 0.002831 0.004143
296 0.308780  6.331 0.002942 0.004196
297 0.308985  7.305 0.002955 0.004210
298 0.310591  6.331 0.002869 0.004274
299 0.311139  5.844 0.002912 0.004193
300 0.312133  6.331 0.002901 0.004285
301 0.312941  6.331 0.003027 0.004426
302 0.313764  6.818 0.002935 0.004317
303 0.314664  6.331 0.002994 0.004404
304 0.316193  6.818 0.003161 0.004419
305 0.320000  6.818 0.003137 0.004481
306 0.316437  7.305 0.003064 0.004816
307 0.317760  7.792 0.003133 0.004547
308 0.319936  7.305 0.003109 0.004756
309 0.320255  7.792 0.003159 0.004684
310 0.321578  6.331 0.003080 0.004664
311 0.322202  7.305 0.003177 0.004775
312 0.323907  7.305 0.003159 0.004746
313 0.324438  7.305 0.003229 0.004747
314 0.325451  6.818 0.003233 0.004722
315 0.325418  6.331 0.003319 0.004840
316 0.326607  6.818 0.003180 0.004954
317 0.328417  7.792 0.003291 0.004889
318 0.329134  7.792 0.003308 0.004906
319 0.330526  6.818 0.003351 0.004995
320 0.331588  6.331 0.003491 0.004964
321 0.332710  7.792 0.003498 0.005317
322 0.332122  7.305 0.003446 0.005051
323 0.334473  7.305 0.003569 0.005137
324 0.335880  8.766 0.003376 0.005160
325 0.336227  7.305 0.003415 0.005252
326 0.337040  7.792 0.003418 0.005169
327 0.348248  7.305 0.003563 0.005265
328 0.344511  8.766 0.003533 0.005256
329 0.341201  8.766 0.003514 0.005350
330 0.340951  8.279 0.003551 0.005472
331 0.343036  7.305 0.003552 0.005475
332 0.343980  8.766 0.003672 0.005361
333 0.348282  7.792 0.003670 0.005546
334 0.346034  7.792 0.003617 0.005528
335 0.345798  7.305 0.003596 0.005546
336 0.347467  7.792 0.003748 0.005651
337 0.348608  8.279 0.003734 0.005575
338 0.349475  7.792 0.003701 0.005689
339 0.350575  8.279 0.003680 0.005944
340 0.351917  8.766 0.003816 0.005821
341 0.352952  8.279 0.003794 0.005789
342 0.354416  7.792 0.003761 0.005941
343 0.355531  7.305 0.003724 0.006220
344 0.354874  8.766 0.003948 0.005909
345 0.357185  8.766 0.003803 0.006030
346 0.358808  8.279 0.003845 0.006080
347 0.357785  8.279 0.003904 0.006117
348 0.360573  8.766 0.003990 0.006096
349 0.361616  8.766 0.004032 0.006155
350 0.362324  7.792 0.003946 0.006160
351 0.362909  7.792 0.003908 0.006148
352 0.363641  7.792 0.004146 0.006236
353 0.364715  7.792 0.004114 0.006279
354 0.365732  8.766 0.003994 0.006402
355 0.366374  8.279 0.004089 0.006357
356 0.368631  7.792 0.004160 0.006400
357 0.368405  8.279 0.004048 0.006418
358 0.370358  7.792 0.004111 0.006540
359 0.371278  7.792 0.004082 0.006555
360 0.372860  8.279 0.004134 0.006648
361 0.373558  7.792 0.004125 0.006610
362 0.374848  7.792 0.004201 0.006726
363 0.374824  7.792 0.004167 0.006739
364 0.375452  8.279 0.004326 0.006746
365 0.376500  8.279 0.004334 0.006769
366 0.378202  8.279 0.004286 0.006868
367 0.382315  6.818 0.004342 0.006942
368 0.380972  8.279 0.004346 0.007013
369 0.381392  8.766 0.004372 0.006905
370 0.382490  8.279 0.004452 0.007064
371 0.384493  8.766 0.004512 0.006993
372 0.384005  8.766 0.004520 0.007151
373 0.385224  8.766 0.004464 0.007176
374 0.387173  8.279 0.004570 0.007266
375 0.387624  8.766 0.004526 0.007123
376 0.388393  7.305 0.004464 0.007315
377 0.389646  8.766 0.004627 0.007343
378 0.390778  9.740 0.004653 0.007451
379 0.392954  9.253 0.004598 0.007414
380 0.402276  9.253 0.004688 0.007514
381 0.429353  6.818 0.004715 0.007553
382 0.393122  9.253 0.004694 0.007535
383 0.394431  8.766 0.004675 0.007544
384 0.395462  8.279 0.004707 0.007533
385 0.394884  8.279 0.004872 0.007643
386 0.397108  8.766 0.004788 0.007808
387 0.398228  8.279 0.004853 0.007905
388 0.399491  8.766 0.004895 0.007783
389 0.400071  8.279 0.004846 0.007825
390 0.402007  8.279 0.004859 0.008081
391 0.402551  7.305 0.005013 0.007924
392 0.403664  7.792 0.004892 0.007963
393 0.404096  7.792 0.005038 0.008228
394 0.404797  8.279 0.005010 0.008135
395 0.406552  8.766 0.005056 0.008178
396 0.407046  8.279 0.004959 0.008268
397 0.408071  7.305 0.005119 0.008214
398 0.410591  7.792 0.004973 0.008311
399 0.409772  8.279 0.005051 0.008234
400 0.413075  8.766 0.005025 0.008512
401 0.414433  6.818 0.005186 0.008519
402 0.414224  8.279 0.005198 0.008469
403 0.415886  8.279 0.005282 0.008633
